"Group.1";"system.index";"B";"G";"NIR";"R";"SWIR1";"SWIR2";"evi";"gvmi";"msi";"ndmi";"ndvi";".geo";"coordinates";"N";"E";"date";"year";"month";"season"
1986-02-26;"1_1_LT05_196024_19860226_00000000000000000000_4720";0.19072;0.2124175;0.295495;0.2280375;0.2254525;0.1552175;0.144708893851097;0.396470019921512;0.716454595467533;0.16519248;0.13543625;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.956598475985781,52.14949294711273]}";"6.956598475985781,52.14949294711273";52.1602727305222;6.95659847598578;1986-02-26;1986;2;"winter"
1986-03-30;NA;0.0976875;0.123125;0.2305675;0.1283225;0.2021875;0.11747375;0.190459869284136;0.395979136255531;0.904206621925047;0.05030619;0.260184475;NA;NA;52.1697050410054;6.96670452293213;1986-03-30;1986;3;NA
1986-05-01;NA;0.0611675;0.0863575;0.24006875;0.0867425;0.22724;0.1449325;0.245398452752576;0.317564370437714;0.999727103000979;0.00013646712;0.4189204;NA;NA;52.1640456547155;6.95983241100861;1986-05-01;1986;5;NA
1986-05-17;NA;0.06092;0.0947175;0.3352875;0.08017;0.23065;0.130605;0.469008334298879;0.482455012241064;0.671860345505703;0.19627216;0.6147301;NA;NA;52.1637761601302;6.95983241100861;1986-05-17;1986;5;NA
1986-06-02;"1_1_LT05_196024_19860602_00000000000000000000_5295";0.06543;0.0963675;0.4261475;0.080335;0.2432725;0.1243075;0.607318295739348;0.56495646371567;0.560796602693637;0.28139696;0.66934377;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.960101905593847,52.154074355061745]}";"6.960101905593847,52.154074355061745";52.1573082900846;6.96010190559385;1986-06-02;1986;6;"summer"
1986-06-09;"1_1_LT05_197024_19860609_00000000000000000000_2328";0.0350975;0.0673275;0.31183;0.0508275;0.1845325;0.08644;0.48511081392856;0.59677412841295;0.555466873645364;0.28578758;0.7224564;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.168357568079244]}";"6.959832411008612,52.168357568079244";52.1640456547155;6.95983241100861;1986-06-09;1986;6;"summer"
1986-06-25;NA;0.0755775;0.10492;0.444655;0.0796475;0.2346375;0.1164975;0.664585244158793;0.615400096895248;0.500906552122537;0.332527995;0.69294965;NA;NA;52.1678185789088;6.96333584061668;1986-06-25;1986;6;NA
1986-07-04;"1_1_LT05_196024_19860704_00000000000000000000_3705";0.1289;0.1452625;0.531005;0.10734;0.269755;0.1260675;0.889379048469958;0.630800418332116;0.498581100708332;0.33459577;0.65754336;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.964952808128093,52.15353536589127]}";"6.964952808128093,52.15353536589127";52.1616202034483;6.96495280812809;1986-07-04;1986;7;"summer"
1986-07-11;"1_1_LT05_197024_19860711_00000000000000000000_3488";0.0456025;0.08237;0.47342;0.058555;0.23483;0.101015;0.690469065248241;0.659548647576373;0.473624840442901;0.35719752;0.77569336;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.966030786469036,52.17401695436919]}";"6.966030786469036,52.17401695436919";52.1745559435397;6.96603078646904;1986-07-11;1986;7;"summer"
1986-08-12;"1_1_LT05_197024_19860812_00000000000000000000_2328";0.04904;0.0794825;0.3834675;0.061415;0.2157725;0.09777;0.581077174070173;0.60629939617187;0.564837272712861;0.27808815;0.7295058;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.168357568079244]}";"6.959832411008612,52.168357568079244";52.1640456547155;6.95983241100861;1986-08-12;1986;8;"summer"
1986-08-21;"1_1_LT05_196024_19860821_00000000000000000000_2328";0.0396075;0.0685375;0.3512375;0.0559425;0.209365;0.1025275;0.533720326584548;0.575357293771019;0.604014460146118;0.24687155;0.7315174;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.168357568079244]}";"6.959832411008612,52.168357568079244";52.1640456547155;6.95983241100861;1986-08-21;1986;8;"summer"
1986-09-13;"1_1_LT05_197024_19860913_00000000000000000000_3154";0.07247;0.0951025;0.333995;0.075495;0.2116475;0.0986775;0.513873550524572;0.564618052937184;0.628766001465454;0.22792347;0.62260705;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.18830016738669]}";"6.959832411008612,52.18830016738669";52.1645846438859;6.95983241100861;1986-09-13;1986;9;"autumn"
1986-10-24;"1_1_LT05_196024_19861024_00000000000000000000_2328";0.0428525;0.07236;0.2438225;0.06708;0.18588;0.089575;0.326531052251436;0.536939109581197;0.679230282041262;0.19102187;0.5683429;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.168357568079244]}";"6.959832411008612,52.168357568079244";52.1640456547155;6.95983241100861;1986-10-24;1986;10;"autumn"
1986-11-09;"1_1_LT05_196024_19861109_00000000000000000000_3";0.039085;0.050635;0.14397;0.057125;0.11889;0.0748075;0.162545052278486;0.493505776934197;0.669836855765666;0.1977218;0.44140837;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.964144324372385,52.18830016738669]}";"6.964144324372385,52.18830016738669";52.1721304922725;6.96414432437239;1986-11-09;1986;11;"autumn"
1987-07-14;"1_1_LT05_197024_19870714_00000000000000000000_3132";0.0418075;0.0737075;0.3633925;0.0590225;0.2200075;0.1043975;0.536169661712555;0.581838992750858;0.580873563864944;0.2651233;0.7164681;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.16970504100542]}";"6.959832411008612,52.16970504100542";52.1621591926188;6.95983241100861;1987-07-14;1987;7;"summer"
1987-08-15;"1_1_LT05_197024_19870815_00000000000000000000_4577";0.0414775;0.06851;0.4148175;0.04728;0.19974;0.082865;0.658492408940476;0.673901710427235;0.465905675417848;0.36434427;0.7987515;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.954173024718658,52.17913735148868]}";"6.954173024718658,52.17913735148868";52.1732084706135;6.95417302471866;1987-08-15;1987;8;"summer"
1987-10-02;"1_1_LT05_197024_19871002_00000000000000000000_2328";0.0387;0.0633125;0.2880425;0.0514325;0.187695;0.08787;0.443261495884922;0.568130130709955;0.628609167168744;0.22804172;0.6952558;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.168357568079244]}";"6.959832411008612,52.168357568079244";52.1640456547155;6.95983241100861;1987-10-02;1987;10;"autumn"
1987-10-18;"1_1_LT05_197024_19871018_00000000000000000000_2328";0.0398;0.06433;0.2360125;0.06015;0.17928;0.084735;0.339901682619857;0.530694741922833;0.685014094753114;0.1869337;0.6052451;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.168357568079244]}";"6.959832411008612,52.168357568079244";52.1640456547155;6.95983241100861;1987-10-18;1987;10;"autumn"
1988-02-07;"1_1_LT05_197024_19880207_00000000000000000000_21";0.077475;0.0652925;0.081215;0.05751;0.042605;0.02451;0.0730093143777577;0.605626315206557;0.591715565431756;0.2565059;0.17087764;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.958215443497196,52.17239998685778]}";"6.958215443497196,52.17239998685778";52.1478759796013;6.9582154434972;1988-02-07;1988;2;"winter"
1988-04-27;"1_1_LT05_197024_19880427_00000000000000000000_2328";0.05135;0.079895;0.2337025;0.0766775;0.2275425;0.137535;0.281326835265191;0.354375547551835;0.932777112369338;0.034780465;0.49850398;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.168357568079244]}";"6.959832411008612,52.168357568079244";52.1640456547155;6.95983241100861;1988-04-27;1988;4;"spring"
1988-05-06;NA;0.05234;0.0782725;0.33163;0.0607825;0.20409875;0.1020325;0.522331952616011;0.571483649719463;0.569907822469035;0.27396014;0.7015389;NA;NA;52.1587905103034;6.97950551573083;1988-05-06;1988;5;NA
1988-05-13;"1_1_LT05_197024_19880513_00000000000000000000_2328";0.045135;0.0760175;0.2917;0.0648525;0.21943;0.119385;0.423364777791445;0.487563110392015;0.691906327814632;0.18209854;0.6462658;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.168357568079244]}";"6.959832411008612,52.168357568079244";52.1640456547155;6.95983241100861;1988-05-13;1988;5;"spring"
1988-05-22;NA;0.040185;0.07119125;0.33009;0.05950375;0.22757;0.12406;0.496156313426086;0.520200630103142;0.633910658705202;0.224057145;0.70463026;NA;NA;52.1594642467665;6.96926472149187;1988-05-22;1988;5;NA
1988-06-14;"1_1_LT05_197024_19880614_00000000000000000000_2328";0.0435675;0.074835;0.3364975;0.0607275;0.2064775;0.10767;0.502902326891543;0.551723669985389;0.588986996744088;0.25866354;0.69608307;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.168357568079244]}";"6.959832411008612,52.168357568079244";52.1640456547155;6.95983241100861;1988-06-14;1988;6;"summer"
1988-06-30;"1_1_LT05_197024_19880630_00000000000000000000_2328";0.0509375;0.081875;0.3988125;0.0610575;0.2119775;0.0952125;0.614516112217345;0.629221732745962;0.515824838067588;0.31941366;0.73864794;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.168357568079244]}";"6.959832411008612,52.168357568079244";52.1640456547155;6.95983241100861;1988-06-30;1988;6;"summer"
1988-07-25;"1_1_LT05_196024_19880725_00000000000000000000_2502";0.060645;0.0906475;0.433765;0.07269;0.2239125;0.104865;0.648357870894677;0.615910794962992;0.516438969175288;0.31887934;0.70743895;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.961449378520027,52.151648903794616]}";"6.961449378520027,52.151648903794616";52.1581167738403;6.96144937852003;1988-07-25;1988;7;"summer"
1988-08-01;"1_1_LT05_197024_19880801_00000000000000000000_5115";0.0367475;0.06554;0.393725;0.049755;0.21514;0.09513;0.610542264121049;0.627724221448765;0.534836802365067;0.30307013;0.7809427;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.957676454326725,52.16485413847118]}";"6.957676454326725,52.16485413847118";52.1653931276417;6.95767645432672;1988-08-01;1988;8;"summer"
1988-09-02;"1_1_LT05_197024_19880902_00000000000000000000_3697";0.06169;0.092325;0.4608525;0.0691975;0.2324925;0.103985;0.693795177001174;0.655092101155167;0.488372093023256;0.34375;0.74283683;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.956598475985781,52.15515233340268]}";"6.956598475985781,52.15515233340268";52.1535353658913;6.95659847598578;1988-09-02;1988;9;"autumn"
1988-10-29;"1_1_LT05_196024_19881029_00000000000000000000_3229";0.0417525;0.0744225;0.223115;0.068895;0.20645;0.1079725;0.284291956889822;0.447476354321785;0.838801973479082;0.0876647;0.5269036;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.969264721491866,52.15730829008457]}";"6.969264721491866,52.15730829008457";52.1583862684255;6.96926472149187;1988-10-29;1988;10;"autumn"
1988-11-05;"1_1_LT05_197024_19881105_00000000000000000000_2328";0.048655;0.0746975;0.211345;0.069445;0.20854;0.115755;0.247991693535166;0.417740091337479;0.901623697978036;0.05173279;0.49120712;"{\"geodesic\":false,\"type\":\"Point\",\"coordinates\":[6.959832411008612,52.168357568079244]}";"6.959832411008612,52.168357568079244";52.1640456547155;6.95983241100861;1988-11-05;1988;11;"autumn"
